"N","Title","Url","File","Status","Error"
"1","ИНСТРУКЦИЯ ПО ИСПОЛЬЗОВАНИЮ АВТОМАТИЗИРОВАННОГО ШАБЛОНА ДЖЕТ","https://docs.google.com/document/d/1Kk5mqURBbzAX6Nf4cSuhw8c746Lnb38Gv-1ffuZeU9M/edit?tab=t.0","001_ИНСТРУКЦИЯ ПО ИСПОЛЬЗОВАНИЮ АВТОМАТИЗИРОВАННОГО ШАБЛОНА ДЖЕТ.txt","OK",""
"2","Служебка для всех рандомов","https://docs.google.com/document/d/1NifHUufrVTEFONz9b6FJn3Zfesp2AzenREEXkJX8NKY/edit?tab=t.0","002_Служебка для всех рандомов.txt","OK",""
"3","Полнота","https://docs.google.com/document/d/1CRJoqKXjRjdUgrrdFEGx1hmXb8e3LX2KZCu30AIof78/edit?tab=t.0","003_Полнота.txt","OK",""
"4","Обработка ЖП_1","https://docs.google.com/document/d/1eWBuNVqpXnX8lj55Pv5azOuSspbKTZBv2ZalQUe3iFU/edit?tab=t.0","004_Обработка ЖП_1.txt","OK",""
"5","Обработка ЖП_2","https://docs.google.com/document/d/1h2ChduEB9_gVuJmKedbZKa-KCYiNC_BgD7mJPGidAdU/edit?tab=t.0","005_Обработка ЖП_2.txt","OK",""
"6","Обработка ЖП_3","https://docs.google.com/document/d/1_973_h8ejmG79noZeBEtBIA3jLuGaY1xkZ7aG9-_lUo/edit?tab=t.0","006_Обработка ЖП_3.txt","OK",""
"7","Проводки к исключению_1","https://docs.google.com/document/d/1eU8jlrJcqpnD3EEr80Qi5jth32UtJCpp2VnSFoFAdHg/edit?tab=t.0","007_Проводки к исключению_1.txt","OK",""
"8","Триггер на изменение меппинга","https://docs.google.com/document/d/1Ey6u2If5lhK_d0KraA-BcFxAo3XRb6qlnxrbauHTGMg/edit?tab=t.0","008_Триггер на изменение меппинга.txt","OK",""
"9","Для кнопок вкл\выкл триггер","https://docs.google.com/document/d/1qpMNCNQ4-kF5hI8GFis96w9OWeK0eWYawju0A5uH7jY/edit?tab=t.0","009_Для кнопок вкл_выкл триггер.txt","OK",""
"10","Меппинг допустимый","https://docs.google.com/document/d/1nTz_5xhm78JkdgUL4eLH5wjO4MY1msGXV1b76MQxSHw/edit?tab=t.0","010_Меппинг допустимый.txt","OK",""
"11","Синхронизатор меппинга","https://docs.google.com/document/d/12u-Mz270KSwlx6nknc_nEterbYln8tk31YvEjyXmgaY/edit?tab=t.0","011_Синхронизатор меппинга.txt","OK",""
"12","Вставить формулы анализ к исключению","https://docs.google.com/document/d/1ItR8dpZh3kp5eoJXVjPduGUKqTDpIxtyI-i8H7kTL8Y/edit?tab=t.0","012_Вставить формулы анализ к исключению.txt","OK",""
"13","Сформировать популяцию для тестирования","https://docs.google.com/document/d/1kXpPWwqcZgXQGEhqHCGf0eD7AaA-lpHORbdXRqgbEbo/edit?tab=t.0","013_Сформировать популяцию для тестирования.txt","OK",""
"14","Притянуть ответственных","https://docs.google.com/document/d/1jeC2We7rXy0EFfKTmF-mq_DYqHVt2tVEOKba04169Zo/edit?tab=t.0","014_Притянуть ответственных.txt","OK",""
"15","Мастер проводки к исключению","https://docs.google.com/document/d/1KtJtbyZBsFbBfwtAxubY465hXbFPvmFfcK47f9w5D-8/edit?tab=t.0","015_Мастер проводки к исключению.txt","OK",""
"16","Свод по счетам","https://docs.google.com/document/d/12djpk0vW8yshHM3_4e5dBdRnLDojikLGlmtn06WSPu8/edit?tab=t.0","016_Свод по счетам.txt","OK",""
"17","Свод по суммам","https://docs.google.com/document/d/1SGjftoFQmZ-p3o_cJUn4XAbT4aWmAuIweftaLmQoI_k/edit?tab=t.0","017_Свод по суммам.txt","OK",""
"18","Свод по дате","https://docs.google.com/document/d/1DiaTa652DMNVVZTD807HEnd0Xkcw-TJeLOlxMp6tSmw/edit?tab=t.0","018_Свод по дате.txt","OK",""
"19","Свод по ответственным","https://docs.google.com/document/d/10GyJbqolo7qwalzfMby5ixmQqt5zPbVkAmWwS37fIpM/edit?tab=t.0","019_Свод по ответственным.txt","OK",""
"20","Мастер своды","https://docs.google.com/document/d/1YWG-iUwL4jj4XrMb5GYC5Q7SsdAJYV0F2VHjPipUNaM/edit?tab=t.0","020_Мастер своды.txt","OK",""
"21","4. Операции без содержания_1_популяция","https://docs.google.com/document/d/1qeICHkkGX9Dcq_Bi3AKqoc3S0f7JKPihmJF13b76n9s/edit?tab=t.0","021_4. Операции без содержания_1_популяция.txt","OK",""
"22","4. Операции без содержания_2_к_запросу","https://docs.google.com/document/d/1zwp8zPJNBVTFE0780KEuH9WXh5capM-qnz7WZglcHHk/edit?tab=t.0","022_4. Операции без содержания_2_к_запросу.txt","OK",""
"23","4. Операции без содержания_3_синхрон","https://docs.google.com/document/d/1Zs8hmeEzFqu9fM6kPVlX6g-lC62ENqWiwpFG6KJgkf0/edit?tab=t.0","023_4. Операции без содержания_3_синхрон.txt","OK",""
"24","4. Операции без содержания_0_мастер","https://docs.google.com/document/d/1wtv63i4qgojr1uqeeVoJtk8vODSPl77zumlvpBrpnyE/edit?tab=t.0","024_4. Операции без содержания_0_мастер.txt","OK",""
"25","5. Необычная активность","https://docs.google.com/document/d/1Ozyw2g7OEQdAWuycPNgAo_tEYIfMtiyXoeMjLTBseDw/edit?tab=t.0","025_5. Необычная активность.txt","OK",""
"26","6. По идентификатору","https://docs.google.com/document/d/1H5zX8xRMiPxJnQ9AWNvv9g6ie7CFzOUfrGV92wyXE30/edit?tab=t.0","026_6. По идентификатору.txt","OK",""
"27","Мастер 5-6","https://docs.google.com/document/d/13J1bFb-gs0bHhsZdcRjK0Kj0jKBUuyEVnuqr-60SonU/edit?tab=t.0","027_Мастер 5-6.txt","OK",""
"28","7. Праздничные дни_1_свод","https://docs.google.com/document/d/1yIo582nvCqhJyrISZrlcclH_9tIFQO10IGmZr2m4QaA/edit?tab=t.0","028_7. Праздничные дни_1_свод.txt","OK",""
"29","7. Праздничные дни_2_популяция","https://docs.google.com/document/d/1elU5FJDoMnYrzMFaNbAqQqF7vsJ60VvPCkRrfzLRqUc/edit?tab=t.0","029_7. Праздничные дни_2_популяция.txt","OK",""
"30","7. Праздничные дни_2_2_допник_регистр","https://docs.google.com/document/d/1Kd0litQLTUtpMvyisikuiH_46SW3GvzBvn18QHEDr-8/edit?tab=t.0","030_7. Праздничные дни_2_2_допник_регистр.txt","OK",""
"31","7. Праздничные дни_3_фильтр_3л","https://docs.google.com/document/d/10hRJoDYlaJ8C7hkh27rJ-rW597fSCzwsEfZSGstdyTc/edit?tab=t.0","031_7. Праздничные дни_3_фильтр_3л.txt","OK",""
"32","7. Праздничные дни_4_рандом выборка","https://docs.google.com/document/d/1yli80_xkrXV_rzGF-c-AR3XGnH5k3IG_pZcuImUAI9c/edit?tab=t.0","032_7. Праздничные дни_4_рандом выборка.txt","OK",""
"33","7. Праздничные дни_5_вставить на лист","https://docs.google.com/document/d/1cl2BipAPpQs_ozUlwHNJYOs9GFbfkB9W75uYk2UdwVA/edit?tab=t.0","033_7. Праздничные дни_5_вставить на лист.txt","OK",""
"34","7. Праздничные дни_триггер_на_настройки","https://docs.google.com/document/d/18Q7JW7Cl9niWh0-i1wh-eBBNF6cZJylGnD5eJptt1_k/edit?tab=t.0","034_7. Праздничные дни_триггер_на_настройки.txt","OK",""
"35","7. Праздничные дни_6_синхрон_с_популяцией","https://docs.google.com/document/d/1pZF5To1lhcXtB7JMJKbBuQnXsUmuUbQPEDJPnBSdHWg/edit?tab=t.0","035_7. Праздничные дни_6_синхрон_с_популяцией.txt","OK",""
"36","7. Праздничные дни_МАСТЕР","https://docs.google.com/document/d/12-5P63rcw3Fxhody8sLWvCrPEVmYNFzKZ5_MXNOxYPo/edit?tab=t.0","036_7. Праздничные дни_МАСТЕР.txt","OK",""
"37","7. Праздничные дни_МАСТЕР рандом","https://docs.google.com/document/d/1b-VY7FJwfXZJoaFI_SxfI788-bFb7nutKb7uh8HyfG0/edit?tab=t.0","037_7. Праздничные дни_МАСТЕР рандом.txt","OK",""
"38","7. Праздничные дни_МАСТЕР свод","https://docs.google.com/document/d/1bHb93hjm_X0xGazVWxLzprvbIC3o6iVNbGlnLBUlFmM/edit?tab=t.0","038_7. Праздничные дни_МАСТЕР свод.txt","OK",""
"39","8. Нетипичные корреспонденции_1_свод","https://docs.google.com/document/d/1cQ_n7zVvKp3q_mCqkdey6JaZKs4ap5-Y73k2g4955l8/edit?tab=t.0","039_8. Нетипичные корреспонденции_1_свод.txt","OK",""
"40","8. Нетипичные корреспонденции_2_популяция","https://docs.google.com/document/d/15-RKSdtuEocX7r4iifWoeV4kajdzQyoB3xSXHgEike8/edit?tab=t.0","040_8. Нетипичные корреспонденции_2_популяция.txt","OK",""
"41","8. Нетипичные корреспонденции_3_фильтр_3л","https://docs.google.com/document/d/1bN6JkRoqBcUsVzSQD5jYqP0_O6d-rGlwxo6xxjIZtRg/edit?tab=t.0","041_8. Нетипичные корреспонденции_3_фильтр_3л.txt","OK",""
"42","8. Нетипичные корреспонденции_4_рандом выборка","https://docs.google.com/document/d/1WcXAzKQrD1wiGZAiSSDt1N0RCnfgHcmhfG1wqXXuNdM/edit?tab=t.0","042_8. Нетипичные корреспонденции_4_рандом выборка.txt","OK",""
"43","8. Нетипичные корреспонденции_5_вставить на лист","https://docs.google.com/document/d/13Dsk_uZ3OAvS8r-c69xbSCx08YR5NyesBWmXY6JoCd8/edit?tab=t.0","043_8. Нетипичные корреспонденции_5_вставить на лист.txt","OK",""
"44","8. Нетипичные корреспонденции_триггер_на_настройки","https://docs.google.com/document/d/1D8ON-12RJQ-Y_hDhqJJ2jbKzGhNvjs9PmYrmUzkBW-E/edit?tab=t.0","044_8. Нетипичные корреспонденции_триггер_на_настройки.txt","OK",""
"45","8. Нетипичные корреспонденции_МАСТЕР","https://docs.google.com/document/d/156htVBkUbMxmmNMKiDghW-GDPGEw4qNKsq8hLq0gnnA/edit?tab=t.0","045_8. Нетипичные корреспонденции_МАСТЕР.txt","OK",""
"46","8. Нетипичные корреспонденции_МАСТЕР рандом","https://docs.google.com/document/d/12D3tf-z2tR4p6nSSCZ5IHQ8sKqrOt9F1jf6QI9_xdnM/edit?tab=t.0","046_8. Нетипичные корреспонденции_МАСТЕР рандом.txt","OK",""
"47","8. Нетипичные корреспонденции_6_синхрон_с_популяцией","https://docs.google.com/document/d/1j-pxyJhsi-dMZYjX6Gr8dJu-gOJyO-BnjWGq2Q2-pG0/edit?tab=t.0","047_8. Нетипичные корреспонденции_6_синхрон_с_популяцией.txt","OK",""
"48","9. Ручные со связ. ст_1_популяция","https://docs.google.com/document/d/193jn3p759-E-S_Qwlyw7MdsruhlVAJ3-mTEwvYK0Pww/edit?tab=t.0","048_9. Ручные со связ. ст_1_популяция.txt","OK",""
"49","9. Ручные со связ. ст_2_к_запросу","https://docs.google.com/document/d/1CrDUjJsyWuSTa6m-jsEX47EWZr1_GHVEe6F5xVZTzpw/edit?tab=t.0","049_9. Ручные со связ. ст_2_к_запросу.txt","OK",""
"50","9. Ручные со связ. ст_3_синхрон_с_популяцией","https://docs.google.com/document/d/18LETweynoqsB6-EXG-j49YvKUD2svST2ileqk9Svqm0/edit?tab=t.0","050_9. Ручные со связ. ст_3_синхрон_с_популяцией.txt","OK",""
"51","9. Ручные со связ. ст_МАСТЕР","https://docs.google.com/document/d/1RXN2HTHywrnjMvRWhv6v2qEEBRFuFoWk9tg9ArM-LSU/edit?tab=t.0","051_9. Ручные со связ. ст_МАСТЕР.txt","OK",""
"52","9. Ручные со связ. ст_МАСТЕР_синхрон","https://docs.google.com/document/d/1D_K1n-jQaDDG422uMmhqa4XPpoNrW28-OKm0j5DGUXk/edit?tab=t.0","052_9. Ручные со связ. ст_МАСТЕР_синхрон.txt","OK",""
"53","10. РО по вводу доходов_1_популяция","https://docs.google.com/document/d/19mVmQ7GtF_6E-jKc_9aHBpdNvXtUhX_7FbsF_eMPBFw/edit?tab=t.0","053_10. РО по вводу доходов_1_популяция.txt","OK",""
"54","10. РО по вводу доходов_2_фильтр_3л","https://docs.google.com/document/d/12k45zgE6p6mB4FyMGfYMHZ1f8wg2RlS8b9pGDgmmAa8/edit?tab=t.0","054_10. РО по вводу доходов_2_фильтр_3л.txt","OK",""
"55","10. РО по вводу доходов_3_рандом выборка","https://docs.google.com/document/d/1MGJvzw2dgxnTzEobTGXesDmyTNfeIfau2ztlvRGJ2Dg/edit?tab=t.0","055_10. РО по вводу доходов_3_рандом выборка.txt","OK",""
"56","10. РО по вводу доходов_4_вставить_на_лист","https://docs.google.com/document/d/1xF-K1eZpkQaDQXomLtXgjoCcrwuDZl6NJWhdVG0_zao/edit?tab=t.0","056_10. РО по вводу доходов_4_вставить_на_лист.txt","OK",""
"57","10. РО по вводу доходов_триггер_на_настройки","https://docs.google.com/document/d/1rVWx64tY6z0cUYDD3oLJtrB8s8atQpWtcCvrV9rSpPA/edit?tab=t.0","057_10. РО по вводу доходов_триггер_на_настройки.txt","OK",""
"58","10. РО по вводу доходов_5_синхрон_с_популяцией","https://docs.google.com/document/d/1QXdk9zA4LJ8eILTCzT4WvQ9Z931qD1T84Bbc8Pe5_go/edit?tab=t.0","058_10. РО по вводу доходов_5_синхрон_с_популяцией.txt","OK",""
"59","10. РО по вводу доходов_МАСТЕР","https://docs.google.com/document/d/1Rf8BaDX-tsklr8i5R8N9VsBphDrqlcyNl-heATLGR4E/edit?tab=t.0","059_10. РО по вводу доходов_МАСТЕР.txt","OK",""
"60","11. РО рандомные_1_популяция","https://docs.google.com/document/d/1-uaxCGBzXAUs42ozHqq5D-czmuyb9ZCsMGM-2__1wXU/edit?tab=t.0","060_11. РО рандомные_1_популяция.txt","OK",""
"61","11. РО рандомные_2_фильтр_3л","https://docs.google.com/document/d/1RxoiAiNkI7R367BQMeJAVXA33ytmK7xCIGcRiaD4NwY/edit?tab=t.0","061_11. РО рандомные_2_фильтр_3л.txt","OK",""
"62","11. РО рандомные_3_рандом выборка","https://docs.google.com/document/d/1mwUyfUsj-kO3_I_327zWT1sTI5Dn9sU_jOpKKqgfRHs/edit?tab=t.0","062_11. РО рандомные_3_рандом выборка.txt","OK",""
"63","11. РО рандомные_4_вставить_на_лист","https://docs.google.com/document/d/1Q6YhWmJLsHntiHa7FHwjZC7zUjhQ18-si8ZpFIXKnDE/edit?tab=t.0","063_11. РО рандомные_4_вставить_на_лист.txt","OK",""
"64","11. РО рандомные_триггер_на_настройки","https://docs.google.com/document/d/1cJE42I8D6PUqdQanweLjlc42kOojk-l9rrDJliOkDgI/edit?tab=t.0","064_11. РО рандомные_триггер_на_настройки.txt","OK",""
"65","11. РО рандомные_5_синхрон_с_популяцией","https://docs.google.com/document/d/1FHQFI_aqJzGHlc6nYVGB97nhJp1NvEzjBkzBCkw2xQw/edit?tab=t.0","065_11. РО рандомные_5_синхрон_с_популяцией.txt","OK",""
"66","11. РО рандомные_МАСТЕР","https://docs.google.com/document/d/1-f25W8iCXL1-Xj0Ma5Ac0dcR0ldwAn5Q-CclxlHZZII/edit?tab=t.0","066_11. РО рандомные_МАСТЕР.txt","OK",""
"67","12. Ключевые слова_1_популяция","https://docs.google.com/document/d/1ZcSsFbPp0ma45xuW1ztkvRWjZBuijDQ1fqBY7oa4mgs/edit?tab=t.0","067_12. Ключевые слова_1_популяция.txt","OK",""
"68","12. Ключевые слова_2_к_запросу","https://docs.google.com/document/d/1SPFR62n0l_zmCi5On39_rD6C5NqlF7LgednklQl8dg0/edit?tab=t.0","068_12. Ключевые слова_2_к_запросу.txt","OK",""
"69","12. Ключевые слова_3_синхрон","https://docs.google.com/document/d/1zZrY5ZQAoHo32NWSu5xI7-oekHxr624OPdnCczg6aao/edit?tab=t.0","069_12. Ключевые слова_3_синхрон.txt","OK",""
"70","12. Ключевые слова_0_МАСТЕР","https://docs.google.com/document/d/1Q8pgjUWoZRbEkDehTpbsC6YszCfNCjwlXMUwbZQLrGw/edit?tab=t.0","070_12. Ключевые слова_0_МАСТЕР.txt","OK",""
"71","12. Ключевые слова_01_МАСТЕР_синхрон","https://docs.google.com/document/d/1tzozkSgoHkLciFQjaoThVEZzdjbl7sSM1veCklL-zkA/edit?tab=t.0","071_12. Ключевые слова_01_МАСТЕР_синхрон.txt","OK",""
"72","13. ПОДФТ_1_к_запросу","https://docs.google.com/document/d/1XLE3czQbEyJrkxnNvX5IxbJkE-nyvMs-xHFhqHbI-rc/edit?tab=t.0","072_13. ПОДФТ_1_к_запросу.txt","OK",""
"73","13. ПОДФТ_2_синхрон","https://docs.google.com/document/d/11w4IvDvXJq-dkv_yh4xQSZl84fw4yleMj3wn5WN5r2o/edit?tab=t.0","073_13. ПОДФТ_2_синхрон.txt","OK",""
"74","13. ПОДФТ_0_МАСТЕР","https://docs.google.com/document/d/1_7NuArJz2o35cyF_YuqekMQs67aeO6fblAmoShilEc8/edit?tab=t.0","074_13. ПОДФТ_0_МАСТЕР.txt","OK",""
"75","Заполнение листа к запросу","https://docs.google.com/document/d/1Q04m_hu4sx0CQjn6B6HvOjS3Zd5VnYbvkaQpAHefctI/edit?tab=t.0","075_Заполнение листа к запросу.txt","OK",""
